Constituency ID,State ID,State,Parliament Constituency,Constituency Name (short),Const No,Constituency Name (long),Status,Winning Candidate,Winning Party,Winning Party ID,Winner Votes,Winner Vote Share,RunnerUp Candidate,RunnerUp Party,RunnerUp Votes,Margin,Total Votes Polled,Num Candidates,Country
S0624,S06,Gujarat,SURAT(24),Surat,24,SURAT,Uncontested,MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),Bharatiya Janata Party - BJP,369,0,,,,,0,0,1,India
S1226,S12,Madhya Pradesh,INDORE(26),INDORE,26,INDORE,Result Declared,SHANKAR LALWANI,Bharatiya Janata Party - BJP,369,1226751,0.785388049,NOTA,None of the Above,218674,1175092,1561968,15,India
S032,S03,Assam,DHUBRI(2),Dhubri,2,DHUBRI,Result Declared,RAKIBUL HUSSAIN,Indian National Congress - INC,742,1471885,0.599885964,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,459409,1012476,2453608,14,India
S1218,S12,Madhya Pradesh,VIDISHA(18),VIDISHA,18,VIDISHA,Result Declared,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party - BJP,369,1116460,0.766979606,PRATAPBHANU SHARMA,Indian National Congress,295052,821408,1455658,14,India
S0625,S06,Gujarat,NAVSARI(25),Navsari,25,NAVSARI,Result Declared,C R PATIL,Bharatiya Janata Party - BJP,369,1031065,0.770477262,NAISHADHBHAI BHUPATBHAI  DESAI,Indian National Congress,257514,773551,1338216,15,India
S066,S06,Gujarat,GANDHINAGAR(6),Gandhinagar,6,GANDHINAGAR,Result Declared,AMIT SHAH,Bharatiya Janata Party - BJP,369,1010972,0.764843751,SONAL RAMANBHAI PATEL,Indian National Congress,266256,744716,1321802,15,India
S2521,S25,West Bengal,DIAMONDHARBOUR(21),Diamond harbour,21,DIAMONDHARBOUR,Result Declared,ABHISHEK BANERJEE,All India Trinamool Congress - AITC,140,1048230,0.684751998,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,337300,710930,1530817,13,India
S231,S23,Tripura,TRIPURAWEST(1),Tripura West,1,TRIPURAWEST,Result Declared,BIPLAB KUMAR DEB,Bharatiya Janata Party - BJP,369,881341,0.728495986,ASISH KUMAR SAHA,Indian National Congress,269763,611578,1209809,10,India
S0620,S06,Gujarat,VADODARA(20),Vadodara,20,VADODARA,Result Declared,DR. HEMANG JOSHI,Bharatiya Janata Party - BJP,369,873189,0.720364411,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,291063,582126,1212149,15,India
S268,S26,Chhattisgarh,RAIPUR(8),RAIPUR,8,RAIPUR,Result Declared,BRIJMOHAN AGRAWAL,Bharatiya Janata Party - BJP,369,1050351,0.661949072,VIKAS UPADHYAY,Indian National Congress,475066,575285,1586755,39,India
